

acc
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 1.0 | 1.0 | 1.0 | 1.0 |
| 2 | 1.0 | 1.0 | 1.0 | 0.9722222089767456 |
| 3 | 1.0 | 1.0 | 1.0 | 1.0 |
| 4 | 0.9743589758872986 | 0.9555555582046509 | 1.0 | 0.9756097793579102 |
| 5 | 1.0 | 1.0 | 1.0 | 1.0 |
| 6 | 0.978723406791687 | 1.0 | 1.0 | 1.0 |
| 7 | 0.9807692170143127 | 1.0 | 1.0 | 1.0 |
| 8 | 0.97826087474823 | 1.0 | 1.0 | 0.9750000238418579 |
| 9 | 1.0 | 1.0 | 1.0 | 1.0 |
| 10 | 1.0 | 1.0 | 1.0 | 0.9545454382896423 |
| average | 0.9912112474441528 | 0.9955555558204651 | 1.0 | 0.9877377450466156 |

loss
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 0.0022769079077988863 | 0.004778727423399687 | 0.004111997317522764 | 0.018968746066093445 |
| 2 | 0.04495251923799515 | 0.003925931639969349 | 0.004379679448902607 | 0.07143386453390121 |
| 3 | 0.01732357032597065 | 0.0032800177577883005 | 0.002823448274284601 | 0.01187765970826149 |
| 4 | 0.0708133652806282 | 0.08137344568967819 | 0.010625873692333698 | 0.05135926976799965 |
| 5 | 0.023196423426270485 | 0.03331233561038971 | 0.0038520137313753366 | 0.007404491305351257 |
| 6 | 0.07737567275762558 | 0.0025363354943692684 | 0.010357844643294811 | 0.003503422485664487 |
| 7 | 0.05701588839292526 | 0.008004426956176758 | 0.008608282543718815 | 0.013806807808578014 |
| 8 | 0.019461579620838165 | 0.003995430655777454 | 0.01590154320001602 | 0.09342275559902191 |
| 9 | 0.008522339165210724 | 0.007068926468491554 | 0.003297090530395508 | 0.003802487626671791 |
| 10 | 0.007749113254249096 | 0.003789742710068822 | 0.028871893882751465 | 0.11750029772520065 |
| average | 0.03286873793695122 | 0.015206532040610909 | 0.009282966726459563 | 0.03930798026267439 |
