

acc
| count/比例 | 0.10: 0.70: 0.2 | 0.20: 0.60: 0.2 | 0.30: 0.50: 0.2 | 0.40: 0.40: 0.2 | 0.50: 0.30: 0.2 | 0.60: 0.20: 0.2 | 0.70: 0.10: 0.2 |
| --------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: |
| 1 | 0.215 | 0.8772 | 0.9566 | 0.9845 | 0.9902 | 0.9869 | 0.9948999999999999 |
| 2 | 0.2066 | 0.8104 | 0.9422 | 0.9891 | 0.9906 | 0.9918 | 0.9941 |
| 3 | 0.18600000000000003 | 0.9634 | 0.9828 | 0.9798 | 0.9843999999999999 | 0.9945 | 0.9965 |
| 4 | 0.2122 | 0.7828 | 0.9590000000000001 | 0.9876999999999999 | 0.9937 | 0.9948 | 0.9921 |
| 5 | 0.2266 | 0.8896999999999999 | 0.9828 | 0.9854 | 0.9883 | 0.9953 | 0.9929000000000001 |
| average | 0.20928 | 0.8646999999999998 | 0.9646800000000001 | 0.9853 | 0.9894399999999999 | 0.9926600000000001 | 0.9940999999999999 |

loss
| count/比例 | 0.10: 0.70: 0.2 | 0.20: 0.60: 0.2 | 0.30: 0.50: 0.2 | 0.40: 0.40: 0.2 | 0.50: 0.30: 0.2 | 0.60: 0.20: 0.2 | 0.70: 0.10: 0.2 |
| --------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: |
| 1 | 2.4846 | 0.5407 | 0.2424 | 0.084 | 0.0582 | 0.0617 | 0.0283 |
| 2 | 2.4918 | 0.7275 | 0.2726 | 0.0861 | 0.0516 | 0.0437 | 0.0316 |
| 3 | 2.6169 | 0.2849 | 0.0966 | 0.1156 | 0.068 | 0.0293 | 0.0138 |
| 4 | 2.5464 | 0.7617 | 0.2086 | 0.0817 | 0.0337 | 0.0347 | 0.0423 |
| 5 | 2.4348 | 0.5256 | 0.0914 | 0.0738 | 0.076 | 0.0187 | 0.0335 |
| average | 2.5149 | 0.5680799999999999 | 0.18232 | 0.08824000000000001 | 0.05750000000000001 | 0.03762 | 0.0299 |
