

acc
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 0.9886178970336914 | 0.9937106966972351 | 0.9952531456947327 | 0.9821717739105225 |
| 2 | 0.9936000108718872 | 0.9918166995048523 | 0.9906976819038391 | 0.9854604005813599 |
| 3 | 0.9854369163513184 | 0.9888888597488403 | 0.9789643883705139 | 0.9842271208763123 |
| 4 | 0.9917762875556946 | 0.9951768517494202 | 0.9954407215118408 | 0.991830050945282 |
| 5 | 0.9924585223197937 | 0.9935275316238403 | 0.9771241545677185 | 0.9884678721427917 |
| average | 0.9903779268264771 | 0.9926241278648377 | 0.987496018409729 | 0.9864314436912537 |

loss
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 0.0939134955406189 | 0.02421519160270691 | 0.029643215239048004 | 0.09196339547634125 |
| 2 | 0.05477509647607803 | 0.04340473189949989 | 0.057754695415496826 | 0.054503247141838074 |
| 3 | 0.05261078476905823 | 0.027733400464057922 | 0.11067312955856323 | 0.08502095192670822 |
| 4 | 0.04693099856376648 | 0.02715321071445942 | 0.026044398546218872 | 0.03657500445842743 |
| 5 | 0.04717982932925224 | 0.10875410586595535 | 0.09701123088598251 | 0.05875115841627121 |
| average | 0.9903779268264771 | 0.9926241278648377 | 0.987496018409729 | 0.9864314436912537 |
